LEAGUE_ID,TEAM_ID,MIN_YEAR,MAX_YEAR,ABBREVIATION,NICKNAME,YEARFOUNDED,CITY,ARENA,ARENACAPACITY,OWNER,GENERALMANAGER,HEADCOACH,DLEAGUEAFFILIATION,LEGENDARY_IMG
00,1610612737,1949,2019,ATL,Hawks,1949,Atlanta,State Farm Arena,18729,Tony Ressler,Travis Schlenk,Lloyd Pierce,Erie Bayhawks,https://wsrv.nl/?url=i.namu.wiki/i/_p4r0n_sWZahVy6vsCWg4dK1KcNNx2vBCbSJjwbjB0B365GupjEiopY2yTuP-jncxj9LCC3gJA60vmcfXrebCg.webp
00,1610612738,1946,2019,BOS,Celtics,1946,Boston,TD Garden,18624,Wyc Grousbeck,Danny Ainge,Brad Stevens,Maine Red Claws,https://wsrv.nl/?url=upload.wikimedia.org/wikipedia/commons/6/6f/Larry_Bird_Lipofsky.jpg&w=800
00,1610612740,2002,2019,NOP,Pelicans,2002,New Orleans,Smoothie King Center,16867,Tom Benson,Trajan Langdon,Alvin Gentry,No Affiliate,https://wsrv.nl/?url=upload.wikimedia.org/wikipedia/commons/7/72/Anthony_Davis_2013.jpg&w=800
00,1610612741,1966,2019,CHI,Bulls,1966,Chicago,United Center,21711,Jerry Reinsdorf,Gar Forman,Jim Boylen,Windy City Bulls,https://wsrv.nl/?url=upload.wikimedia.org/wikipedia/commons/b/b3/Jordan_Lipofsky.jpg&w=800
00,1610612742,1980,2019,DAL,Mavericks,1980,Dallas,American Airlines Center,19200,Mark Cuban,Donnie Nelson,Rick Carlisle,Texas Legends,https://wsrv.nl/?url=upload.wikimedia.org/wikipedia/commons/7/7c/Dirk_Nowitzki_2010.jpg&w=800
00,1610612743,1976,2019,DEN,Nuggets,1976,Denver,Pepsi Center,19099,Stan Kroenke,Tim Connelly,Michael Malone,No Affiliate,https://wsrv.nl/?url=upload.wikimedia.org/wikipedia/commons/3/36/Nikola_Joki%C4%87_free_throw_%28cropped%29.jpg&w=800
00,1610612745,1967,2019,HOU,Rockets,1967,Houston,Toyota Center,18104,Tilman Fertitta,Daryl Morey,Mike D'Antoni,Rio Grande Valley Vipers,https://wsrv.nl/?url=upload.wikimedia.org/wikipedia/commons/1/13/Hakeem_Olajuwon_Lipofsky.jpg&w=800
00,1610612746,1970,2019,LAC,Clippers,1970,Los Angeles,Staples Center,19060,Steve Ballmer,Michael Winger,Doc Rivers,Agua Caliente Clippers of Ontario,https://wsrv.nl/?url=upload.wikimedia.org/wikipedia/commons/d/d3/Kawhi_Leonard_dribbling_2019_%28cropped%29.jpg&w=800
00,1610612747,1948,2019,LAL,Lakers,1948,Los Angeles,Staples Center,19060,Jerry Buss Family Trust,Rob Pelinka,Frank Vogel,South Bay Lakers,https://wsrv.nl/?url=upload.wikimedia.org/wikipedia/commons/5/56/Kobe_Bryant_2014.jpg&w=800
00,1610612748,1988,2019,MIA,Heat,1988,Miami,AmericanAirlines Arena,19600,Micky Arison,Pat Riley,Erik Spoelstra,Sioux Falls Skyforce,https://wsrv.nl/?url=upload.wikimedia.org/wikipedia/commons/4/4d/Dwyane_Wade_waving_2018.jpg&w=800
00,1610612749,1968,2019,MIL,Bucks,1968,Milwaukee,Fiserv Forum,17500,Wesley Edens & Marc Lasry,Jon Horst,Mike Budenholzer,Wisconsin Herd,https://wsrv.nl/?url=upload.wikimedia.org/wikipedia/commons/9/93/Giannis_Antetokounmpo_2019.jpg&w=800
00,1610612750,1989,2019,MIN,Timberwolves,1989,Minnesota,Target Center,19356,Glen Taylor,Scott Layden,Ryan Saunders,Iowa Wolves,https://wsrv.nl/?url=upload.wikimedia.org/wikipedia/commons/5/57/Kevin_Garnett_2008.jpg&w=800
00,1610612751,1976,2019,BKN,Nets,1976,Brooklyn,Barclays Center,17732,Joe Tsai,Sean Marks,Kenny Atkinson,Long Island Nets,https://wsrv.nl/?url=upload.wikimedia.org/wikipedia/commons/d/d4/Julius_Erving_1981.jpg&w=800
00,1610612752,1946,2019,NYK,Knicks,1946,New York,Madison Square Garden,19763,Cablevision (James Dolan),Steve Mills,David Fizdale,Westchester Knicks,https://wsrv.nl/?url=upload.wikimedia.org/wikipedia/commons/a/ae/Patrick_Ewing_Lipofsky.jpg&w=800
00,1610612753,1989,2019,ORL,Magic,1989,Orlando,Amway Center,18846,Rick DeVos,John Hammond,Steve Clifford,Lakeland Magic,https://wsrv.nl/?url=upload.wikimedia.org/wikipedia/commons/e/ea/Shaquille_O%27Neal_2009.jpg&w=800
00,1610612754,1976,2019,IND,Pacers,1976,Indiana,Bankers Life Fieldhouse,18345,Herb Simon,Kevin Pritchard,Nate McMillan,Fort Wayne Mad Ants,https://wsrv.nl/?url=upload.wikimedia.org/wikipedia/commons/2/27/Reggie_Miller_2019.jpg&w=800
00,1610612755,1949,2019,PHI,76ers,1949,Philadelphia,Wells Fargo Center,20478,Joshua Harris,Elton Brand,Brett Brown,Delaware Blue Coats,https://wsrv.nl/?url=upload.wikimedia.org/wikipedia/commons/c/c9/Allen_Iverson_Lipofsky.jpg&w=800
00,1610612756,1968,2019,PHX,Suns,1968,Phoenix,Talking Stick Resort Arena,17071,Robert Sarver,James Jones,Monty Williams,Northern Arizona Suns,https://wsrv.nl/?url=upload.wikimedia.org/wikipedia/commons/1/10/Steve_Nash_2008.jpg&w=800
00,1610612757,1970,2019,POR,Trail Blazers,1970,Portland,Moda Center,19980,Paul Allen,Neil Olshey,Terry Stotts,No Affiliate,https://wsrv.nl/?url=upload.wikimedia.org/wikipedia/commons/d/df/Damian_Lillard_2018.jpg&w=800
00,1610612758,1948,2019,SAC,Kings,1948,Sacramento,Golden 1 Center,17500,Vivek Ranadive,Vlade Divac,Luke Walton,Stockton Kings,https://wsrv.nl/?url=upload.wikimedia.org/wikipedia/commons/c/cb/Chris_Webber_1.jpg&w=800
00,1610612759,1976,2019,SAS,Spurs,1976,San Antonio,AT&T Center,18694,Peter Holt,Brian Wright,Gregg Popovich,Austin Spurs,https://wsrv.nl/?url=upload.wikimedia.org/wikipedia/commons/0/05/Tim_Duncan_2013.jpg&w=800
00,1610612760,1967,2019,OKC,Thunder,1967,Oklahoma City,Chesapeake Energy Arena,19163,Clay Bennett,Sam Presti,Billy Donovan,Oklahoma City Blue,https://wsrv.nl/?url=upload.wikimedia.org/wikipedia/commons/b/b5/Kevin_Durant_2014.jpg&w=800
00,1610612761,1995,2019,TOR,Raptors,1995,Toronto,Scotiabank Arena,19800,Maple Leaf Sports and Entertainment,Masai Ujiri,Nick Nurse,Raptors 905,https://wsrv.nl/?url=upload.wikimedia.org/wikipedia/commons/e/e3/Vince_Carter_dunk.jpg&w=800
00,1610612762,1974,2019,UTA,Jazz,1974,Utah,Vivint Smart Home Arena,20148,Greg Miller,Dennis Lindsey,Quin Snyder,Salt Lake City Stars,https://wsrv.nl/?url=upload.wikimedia.org/wikipedia/commons/9/90/Karl_Malone_Lipofsky.jpg&w=800
00,1610612763,1995,2019,MEM,Grizzlies,1995,Memphis,FedExForum,18119,Robert Pera,Zach Kleiman,Taylor Jenkins,Memphis Hustle,https://wsrv.nl/?url=upload.wikimedia.org/wikipedia/commons/1/1a/Ja_Morant_dribbling_2019_%28cropped%29.jpg&w=800
00,1610612764,1961,2019,WAS,Wizards,1961,Washington,Capital One Arena,20647,Ted Leonsis,Tommy Sheppard,Scott Brooks,Capital City Go-Go,https://wsrv.nl/?url=upload.wikimedia.org/wikipedia/commons/2/29/John_Wall_2014.jpg&w=800
00,1610612765,1948,2019,DET,Pistons,1948,Detroit,Little Caesars Arena,21000,Tom Gores,Ed Stefanski,Dwane Casey,Grand Rapids Drive,https://wsrv.nl/?url=upload.wikimedia.org/wikipedia/commons/5/52/Isiah_Thomas_2012.jpg&w=800
00,1610612766,1988,2019,CHA,Hornets,1988,Charlotte,Spectrum Center,19026,Michael Jordan,Mitch Kupchak,James Borrego,Greensboro Swarm,https://wsrv.nl/?url=upload.wikimedia.org/wikipedia/commons/f/fe/Kemba_Walker_2014.jpg&w=800
00,1610612739,1970,2019,CLE,Cavaliers,1970,Cleveland,Quicken Loans Arena,20562,Dan Gilbert,Koby Altman,John Beilein,Canton Charge,https://wsrv.nl/?url=upload.wikimedia.org/wikipedia/commons/c/cf/LeBron_James_crop_%282012%29.jpg&w=800
00,1610612744,1946,2019,GSW,Warriors,1946,Golden State,Chase Center,19596,Joe Lacob,Bob Myers,Steve Kerr,Santa Cruz Warriors,https://wsrv.nl/?url=upload.wikimedia.org/wikipedia/commons/3/36/Stephen_Curry_dribbling_2016_%28cropped%29.jpg&w=800
